"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2022","28,410.0","28,520.0","28,550.0","28,270.0","0.02K","-0.73%"
"08/19/2022","28,620.0","28,730.0","28,800.0","28,650.0","0.04K","-0.03%"
"08/18/2022","28,630.0","28,880.0","28,880.0","28,630.0","0.05K","-0.87%"
"08/17/2022","28,880.0","28,530.0","29,020.0","28,470.0","0.16K","1.19%"
"08/16/2022","28,540.0","28,550.0","28,600.0","28,330.0","0.08K","-0.04%"
"08/15/2022","28,550.0","28,230.0","28,540.0","28,230.0","0.04K","1.13%"
"08/12/2022","28,230.0","27,750.0","28,200.0","27,750.0","0.04K","0.27%"
"08/11/2022","28,155.0","28,135.0","28,233.0","28,030.0","","2.46%"
"08/10/2022","27,480.0","27,500.0","27,520.0","27,500.0","0.00K","-0.61%"
"08/09/2022","27,650.0","27,930.0","27,980.0","27,650.0","0.02K","-1.00%"
"08/08/2022","27,930.0","27,800.0","27,950.0","27,760.0","0.01K","0.25%"
"08/05/2022","27,860.0","27,720.0","27,870.0","27,570.0","0.05K","0.80%"
"08/04/2022","27,640.0","27,610.0","27,660.0","27,550.0","0.01K","0.88%"
"08/03/2022","27,400.0","27,500.0","27,500.0","27,500.0","0.00K","0.11%"
"08/02/2022","27,370.0","27,500.0","27,500.0","27,250.0","0.01K","-1.16%"
"08/01/2022","27,690.0","27,470.0","27,560.0","27,470.0","0.00K","0.87%"
"07/29/2022","27,450.0","27,340.0","27,440.0","27,330.0","0.01K","-0.22%"
"07/28/2022","27,510.0","27,500.0","27,700.0","27,460.0","0.01K","0.18%"
"07/27/2022","27,460.0","27,180.0","27,180.0","27,180.0","0.00K","0.40%"
"07/26/2022","27,350.0","27,350.0","27,350.0","27,350.0","0.00K","-0.18%"
"07/25/2022","27,400.0","27,590.0","27,620.0","27,330.0","0.01K","-0.69%"
"07/22/2022","27,590.0","27,480.0","27,600.0","27,390.0","0.04K","0.40%"
"07/21/2022","27,480.0","27,300.0","27,450.0","27,300.0","0.01K","0.37%"
"07/20/2022","27,380.0","26,760.0","27,350.0","26,760.0","0.06K","2.82%"
"07/19/2022","26,630.0","26,480.0","26,650.0","26,480.0","0.01K","-1.22%"
"07/18/2022","26,960.0","26,980.0","27,218.0","26,850.0","","-0.11%"
"07/17/2022","26,990.0","27,020.0","27,075.0","26,975.0","","2.00%"
"07/15/2022","26,460.0","26,290.0","26,480.0","26,270.0","0.01K","0.23%"
"07/14/2022","26,400.0","26,140.0","26,350.0","26,030.0","0.01K","0.99%"
"07/13/2022","26,140.0","26,390.0","26,543.0","26,212.5","","0.62%"
"07/12/2022","25,980.0","26,480.0","26,480.0","26,330.0","0.00K","-1.44%"
"07/11/2022","26,360.0","26,480.0","26,710.0","26,450.0","0.01K","0.19%"
"07/08/2022","26,310.0","26,240.0","26,530.0","26,110.0","0.03K","0.46%"
